#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 7 days. These proxies have
# a 83.2% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Sat Jul 25 23:59:47 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
103.160.68.115,entry is 103.160.68.201
103.160.68.193,
103.160.69.161,
103.161.104.96,entry is 103.161.104.105
103.161.131.108,entry is 103.161.131.110
103.161.151.176,
103.161.62.69,
103.161.68.217,entry is 35.247.136.78
103.161.69.196,entry is 103.161.69.17
103.162.106.143,entry is 103.162.106.57
103.162.16.45,
103.162.16.69,
103.162.16.8,entry is 103.162.16.40
103.162.17.205,entry is 103.162.16.7
103.162.17.207,
103.162.184.251,
103.162.196.117,
103.162.218.46,
103.162.220.118,entry is 202.58.77.133
103.162.221.90,entry is 202.58.77.133
103.162.252.11,
103.162.54.147,
103.162.54.182,
103.162.54.26,
103.162.54.82,
103.162.54.83,entry is 103.162.54.171
103.162.57.41,entry is 103.162.57.42
103.162.62.53,
103.162.63.100,
103.162.63.141,
103.162.63.153,entry is 103.162.63.168
103.162.63.69,
103.162.63.73,
103.162.8.2,entry is 103.135.189.129
103.163.103.183,
103.163.103.208,
103.163.103.69,
103.163.111.56,
103.163.13.120,
103.163.13.14,
103.163.13.36,
103.163.134.148,entry is 103.163.134.164
103.163.134.191,
103.163.134.99,
103.163.171.127,entry is 103.134.27.129
103.163.231.106,
103.163.237.250,entry is 103.163.236.114
103.163.244.106,
103.163.244.206,entry is 103.163.244.49
103.163.36.32,entry is 103.163.36.233
103.163.36.5,entry is 202.58.77.112
103.163.80.108,
103.163.80.114,entry is 103.163.80.172
103.163.80.56,
103.164.107.25,entry is 103.164.107.26
103.164.139.33,
103.164.171.210,
103.164.176.250,entry is 103.143.39.97
103.164.180.114,entry is 103.164.180.185
103.164.192.119,
103.164.212.122,entry is 103.164.212.125
103.164.214.122,
103.164.223.35,
103.164.229.149,
103.164.229.153,
103.164.229.52,
103.164.235.110,
103.164.235.123,entry is 103.164.235.122
103.164.235.128,entry is 103.164.235.131
103.164.235.155,entry is 103.164.235.154
103.164.235.168,entry is 103.164.235.169
103.164.235.173,
103.164.235.195,
103.164.49.147,entry is 103.146.137.229
103.165.123.109,
103.165.126.65,
103.165.128.171,
103.165.128.74,
103.165.151.22,
103.165.155.10,entry is 103.165.155.254
103.165.155.22,
103.165.156.139,
103.165.156.144,entry is 103.186.209.52
103.165.157.202,entry is 103.165.157.206
103.165.157.234,
103.165.157.235,
103.165.157.238,
103.165.157.239,
103.165.157.241,
103.165.157.43,entry is 103.105.55.203
103.165.157.50,
103.165.247.34,
103.165.247.74,
103.165.253.134,entry is 103.165.253.133
