#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 30 days. These proxies have
# a 93.6% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Mon Aug 10 02:03:04 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
2a12:bec4:1df0:1ec::a,entry is 76.144.40.133
2a12:bec4:1df0:1ed::a,entry is 76.144.40.133
2a12:bec4:1df0:5b::a,entry is 102.211.56.106
2a12:bec4:1df0:69::a,entry is 102.211.56.106
2a12:bec4:1df0:88::a,entry is 76.144.40.133
2a12:bec4:1df0:b4::a,entry is 102.211.56.106
2a14:1ec7:1007:c432::1,entry is 76.144.40.133
2a14:1ec7:1013:e44::1,entry is 102.211.56.106
2a14:1ec7:101b:4b23::1,entry is 102.211.56.106
2a14:1ec7:101c:175c::1,entry is 76.144.40.133
2a14:1ec7:1021:1231::1,entry is 76.144.40.133
2a14:1ec7:1029:6fad::1,entry is 102.211.56.106
2a14:1ec7:1032:970d::1,entry is 76.144.40.133
2a14:1ec7:1035:d502::1,entry is 76.144.40.133
2a14:1ec7:106c:bb5a::1,entry is 102.211.56.106
2a14:1ec7:106d:a762::1,entry is 102.211.56.106
2a14:1ec7:107a:6897::1,entry is 102.211.56.106
2a14:1ec7:1080:7066::1,entry is 76.144.40.133
2a14:1ec7:108a:517a::1,entry is 76.144.40.133
2a14:1ec7:10a3:f140::1,entry is 102.211.56.106
2a14:1ec7:10a6:a925::1,entry is 76.144.40.133
2a14:1ec7:10c2:639c::1,entry is 76.144.40.133
2a14:1ec7:10c6:5dfc::1,entry is 102.211.56.106
2a14:1ec7:10cf:37d8::1,entry is 102.211.56.106
2a14:1ec7:10d2:cc9::1,entry is 102.211.56.106
2a14:1ec7:10df:9c80::1,entry is 76.144.40.133
2a14:1ec7:10ed:865b::1,entry is 76.144.40.133
2a14:1ec7:10ed:d55e::1,entry is 76.144.40.133
2a14:1ec7:10f4:2227::1,entry is 102.211.56.106
2a14:1ec7:10f8:a7f7::1,entry is 102.211.56.106
2a14:1ec7:10fc:db8e::1,entry is 102.211.56.106
2a14:c380:c70:50::a,entry is 102.211.56.106
2a14:c380:c70:54::a,entry is 102.211.56.106
2a14:c380:c70:55::a,entry is 76.144.40.133
2a14:c380:c70:57::a,entry is 102.211.56.106
2a14:c380:c70:5d::a,entry is 76.144.40.133
2a14:c380:c70:61::a,entry is 102.211.56.106
2a14:c380:c70:62::a,entry is 102.211.56.106
2a14:c380:d70:2:6928:b83a:3891:28c2,undocumented TOR exit
2c0f:3440:1::2,entry is 102.209.76.106
2c0f:4640:1100:1::3,entry is 102.213.179.210
2c0f:4640:1300::3,entry is 102.213.179.194
2c0f:f338:f00:19::b,entry is 169.239.208.70
