#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 7 days. These proxies have
# a 83.2% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Sun Feb 15 23:52:07 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
2a0b:4141:820:ec6::2,entry is 193.233.254.8
2a0b:4141:820:ec7::2,entry is 193.233.254.9
2a0b:4142:9ff::2,entry is 94.159.106.252
2a0b:f4c2:1::1,undocumented TOR exit
2a0c:db01:a9a:304:bd8c:1624:10e3:f5c8,entry is 43.250.54.139
2a0d:6c2:7:2e::,entry is 147.45.124.194
2a0e:97c0:3ea:390::1,entry is 176.100.37.130
2a0f:2b86:10:1:1:2:46e:b585,entry is 141.11.187.163
2a11:1940::6a9,entry is 89.23.105.206
2a12:5940:1efc::2,entry is 138.124.117.139
2a12:5940:4f55::2,entry is 77.221.141.244
2c0f:11c0:401:1::1,entry is 102.207.128.2
2c0f:6500:20:4031::31,entry is 102.217.139.31
