#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 30 days. These proxies have
# a 93.6% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Mon Jul 27 02:00:43 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
103.163.231.106,
103.163.244.106,
103.163.244.206,entry is 103.163.244.49
103.163.36.32,entry is 103.163.36.233
103.163.36.5,entry is 202.58.77.112
103.163.80.108,
103.163.80.114,entry is 103.163.80.172
103.164.107.25,entry is 103.164.107.26
103.164.171.210,
103.164.176.250,entry is 103.143.39.97
103.164.180.114,entry is 103.164.180.185
103.164.192.119,
103.164.212.122,entry is 103.164.212.125
103.164.214.122,
103.164.223.35,
103.164.229.149,
103.164.229.153,
103.164.235.110,
103.164.235.123,entry is 103.164.235.122
103.164.235.128,entry is 103.164.235.131
103.164.235.155,entry is 103.164.235.154
103.164.235.168,entry is 103.164.235.169
103.164.235.173,
103.164.49.147,entry is 103.146.137.229
103.165.123.109,
103.165.126.65,
103.165.128.171,
103.165.128.74,
103.165.155.10,entry is 103.165.155.254
103.165.155.22,
103.165.156.139,
103.165.156.144,entry is 103.186.209.52
103.165.157.202,entry is 103.165.157.206
103.165.157.234,
103.165.157.235,
103.165.157.238,
103.165.157.239,
103.165.157.241,
103.165.157.43,entry is 103.105.55.203
103.165.157.50,
103.165.247.34,
103.165.253.134,entry is 103.165.253.133
103.165.253.135,entry is 103.165.253.133
103.165.253.150,
103.165.64.86,
103.166.11.26,
103.166.158.105,
103.166.158.221,entry is 103.166.159.93
103.166.158.239,
103.166.159.115,
103.166.159.125,
103.166.159.163,
103.166.159.231,
103.166.159.87,
103.166.182.144,
103.166.213.93,
103.166.226.48,
103.166.226.9,
103.166.227.22,
103.166.227.26,entry is 103.166.227.169
103.166.227.31,
103.166.254.218,entry is 103.166.254.222
103.166.255.170,
103.166.32.26,entry is 103.166.32.130
103.166.32.27,
103.166.33.56,
103.166.33.88,
103.166.8.206,entry is 103.166.8.238
103.166.9.128,entry is 103.166.9.50
103.166.9.151,entry is 103.166.9.26
103.166.9.154,entry is 103.166.9.50
103.166.9.157,entry is 103.166.9.26
103.166.9.160,entry is 103.166.9.26
103.166.9.168,entry is 103.166.9.50
103.166.9.171,entry is 103.166.9.50
103.166.9.181,entry is 103.166.9.26
103.166.9.184,entry is 103.166.9.26
